Account Name,Designation type,Latitude,Longtitude ,Website,Description
Isle of Wight Biosphere Reserve,Biosphere Reserve,50.67105,-1.33271,https://www.unesco.org.uk/portfolio/isle-of-wight/,"Situated just off the coast of Portsmouth within the English Channel, The Isle of Wight is the largest Island in England, and like most islands, it benefits from a unique climate – a little milder than on the mainland. In 2019, the Isle of Wight became a UNESCO Biosphere,  enshrining the decades of work in the preservation of its unique and diverse ecosystems, and celebrating the local endeavours to live  harmoniously within them."
Biosffer Dyfi Biosphere Reserve,Biosphere Reserve,52.4881,-4.05081,http://www.dyfibiosphere.wales/,"The area around the river Dyfi is a special place for its people, its culture and the local environment. It hosts some of the finest and most inspiring landscapes and wildlife areas in Europe, as well as a passionate community that care strongly about their magnificent surroundings."
Isle of Man Biosphere Reserve,Biosphere Reserve,54.23582,-4.5146,https://www.biosphere.im/,"On this self-governing island in the Irish Sea, traditional industries such as fishing and farming and a rich cultural heritage and vintage transport network co-exist with tourism, leisure activities and a thriving business and manufacturing sector. The Island boasts spectacular beaches and cliffs and beautiful glens and forests and is an important haven for nature and marine and bird life."
The Living Coast - Brighton and Lewes Downs Biosphere Reserve,Biosphere Reserve,50.82204,-0.13741,https://thelivingcoast.org.uk/,"Situated on the chalk hills and coast of the South Downs within and around the city of Brighton and Hove and neighbouring towns of Lewes, Newhaven and Shoreham, this Biosphere brings together rural, marine and urban environments to take care of this special place for both nature and people. A diverse range of projects to add value are being progressed, from urban greening and water environment improvements through to public engagement, cultural collaboration, public health and tourism initiatives."
North Devon Biosphere Reserve,Biosphere Reserve,51.01076,-4.19948,https://www.northdevonbiosphere.org.uk/,"Reaching to the heights of Dartmoor and Exmoor and extending to the marine environment twelve miles beyond Lundy - this Biosphere has established effective partnerships which pioneer a range of projects for sustainable future in north Devon. These include significant landscape-scale land-use change and biodiversity enhancement, nature improvement areas, biodiversity offsetting, ecosystem-based local development plans, carbon reduction strategies and innovations in marine conservation and fisheries management."
Galloway and Southern Ayrshire Biosphere Reserve,Biosphere Reserve,54.95905,-4.48367,https://www.gsabiosphere.org.uk/,"Covering 5,268 square kilometres the Galloway and Southern Ayrshire Biosphere was granted its status in recognition of the special natural qualities that characterise the area. It is home to 95,000 people who work together to improve life whilst caring for the natural environment."
Wester Ross Biosphere Reserve,Biosphere Reserve,57.89782,-5.15866,https://www.wrb.scot/,"The Wester Ross Biosphere extends from the northern tip of Knoydart northwards to Achiltbuie and the Summer Isles and east to Garve, including population centres in Kyle of Lochalsh, Lochcarron, Gairloch and Ullapool. This mountainous region is one of the United Kingdom's most scenic and least-populated areas, with about 8,000 people living in its 5,229 square kilometres."
Black Country Geopark,Global Geoparks,52.51108,-2.08168,https://blackcountrygeopark.dudley.gov.uk/,Aspiring Geopark. In September 2016 UGGp decided to defer this candidature for a maximum of two years to allow the recommendations to be implemented. Confirmed 5 May 2017. To be resubmitted 2019.
North West Highlands Global Geopark,Global Geoparks,58.24961,-5.00748,https://www.nwhgeopark.com/,"Located in the far north of the Scottish Highlands, the Global Geopark is home to the oldest rocks in the United Kingdom. Their Lewisian gneiss is over 3 billion years old! The eastern boundary of the Global Geopark extends beyond the settlement of Durness and Loch Eriboll to follow the Moine Thrust Zone, an internationally significant geological structure that helped 19th century geologists determine how the world's great mountain ranges were formed."
Fforest Fawr Global Geopark,Global Geoparks,51.81914,-3.01408,https://www.fforestfawrgeopark.org.uk/,"Fforest Fawr (Welsh for the Great Forest ) is a swathe of upland country which forms the western half of the Brecon Beacons National Park. It is a cracked and crumpled layer-cake of rocks, 480 million years in the making, a landscape sculpted by ice then transformed by man and a witness to the birth of the Industrial Revolution"
North Pennines Global Geopark,Global Geoparks,54.75123,-2.2221,https://www.northpennines.org.uk/unesco-global-geopark/,"The North Pennines landscape has been 500 million years in the making and reveals a story of tropical seas, vast deltas and deserts, huge ice sheets and continents on the move, alongside a world class mineral and mining heritage. In recognition of its special qualities, the North Pennines has been designated as an Area of Outstanding Natural Beauty (AONB), as well as a European and Global Geopark - highlighting its globally important Earth heritage."
Marble Arch Caves Global Geopark,Global Geoparks,54.34485,-7.63894,https://www.marblearchcavesgeopark.com/,"Ranging from rugged uplands, lakes and forests through to gently rolling drumlins, the landscapes of the Global Geopark represent a complex Earth history dating back as far as 895 million years. With evidence of mountain building and destruction; searing hot deserts and warm tropical oceans; and of icy wastelands and water-worn caverns, the rocks and landscapes of the Global Geopark are nothing short of amazing."
Geopark Shetland,Global Geoparks,59.9234,-1.33129,https://www.shetlandamenity.org/geopark-shetland,"From the highest sheer cliffs in Britain to the best hands on exposure of the Great Glen Fault, Shetland is packed with an incredibly varied geology spanning almost 3 billion years. Where else can you walk on an ancient ocean floor, explore an extinct volcano and stroll across shifting sands in the space of a day?"
GeoMon Global Geopark,Global Geoparks,53.27823,-4.33134,http://www.geomon.co.uk/,"The tectonic island of Anglesey includes more than a hundred different rock types and the oldest fossils in England or Wales within 1,800 million years of Earth’s history. GeoMon is the United Kingdom’s most geologically diverse Global Geopark. Such is the variety of shapes and types of rock, that visitors and locals alike cannot but marvel at the magnificent colours and structures visible around the coast of the Welsh Global Geopark."
English Riviera Geopark,Global Geoparks,50.46524,-3.52114,http://www.englishrivierageopark.org.uk/,"Home to the Kents Cavern jawbone, the oldest modern human fossil in North West Europe and situated within the stunning, rolling hills of South Devon, Torbay’s geology has created a beautiful coastline, linking the rich diversity of the landscape with its wildlife, people and culture."
Gough and Inaccessible Islands World Heritage Site,World Heritage Sites,-39.25996057,-10.91284135,https://whc.unesco.org/en/list/740/,"The site, located in the south Atlantic, is one of the least-disrupted island and marine ecosystems in the cool temperate zone. The spectacular cliffs of Gough and Inaccessible Islands, towering above the ocean, are free of introduced mammals and home to one of the world’s largest colonies of sea birds."
Blaenavon Industrial Landscape World Heritage Site,World Heritage Sites,51.77402,-3.08537,https://www.visitblaenavon.co.uk/en/Homepage.aspx,"Located at the gateway to the South Wales Valleys, partly within the Brecon Beacons National Park, the Blaenavon Industrial Landscape is a testament to the human endeavour of miners and ironworkers of the past."
Old and New Towns of Edinburgh World Heritage Site,World Heritage Sites,55.9521,-3.1965,https://ewh.org.uk/,"Edinburgh has been the Scottish capital since the 15th century. It has two distinct areas: the Old Town, dominated by a medieval fortress; and the neoclassical New Town, whose development from the 18th century onwards had a far-reaching influence on European urban planning."
"Canterbury Cathedral, St Augustine's Abbey, and St Martin's Church World Heritage Site",World Heritage Sites,51.2800,1.083333,https://www.canterbury.co.uk/info/3/things_to_do/36/world_heritage_site,"The Cathedral has been the seat of the spiritual head of the Church of England for nearly five centuries. CanterburyÂ’s other important monuments are the modest Church of St Martin, the oldest church in England; the ruins of the Abbey of St Augustine, a reminder of the saintÂ’s evangelizing role in the Heptarchy from 597 CE; and Christ Church Cathedral, a breath-taking mixture of Romanesque and Perpendicular Gothic, where Archbishop Thomas Becket was murdered in 1170 CE."
Jodrell Bank Observatory World Heritage Site,World Heritage Sites,53.236015,-2.30697,https://www.jodrellbank.net,"Located in a rural area of northwest England, free from radio interference, Jodrell Bank is one of the world's leading radio astronomy observatories. At the beginning of its use, in 1945, the property housed research on cosmic rays detected by radar echoes. This observatory, which is still in operation, includes several radio telescopes and working buildings, including engineering sheds and the Control Building. Jodrell Bank has had substantial scientific impact in fields such as the study of meteors and the moon, thé discovery of quasars, quantum optics, and the tracking of spacecraft. This exceptional technological ensemble illustrates the transition from traditional optical astronomy to radio astronomy (1940s to 1960s), which led to radical changes in the understanding of the universe."
English Lake District World Heritage Site,World Heritage Sites,54.476611,-3.082417,http://www.lakedistrict.gov.uk/home,"England's largest National Park is now a World Heritage Site, home to Scafell Pike - its highest mountain, Wastwater - its deepest lake and thriving communities like Keswick and Bowness-on-Windermere."
Blenheim Palace World Heritage Site,World Heritage Sites,51.841235,-1.360472,https://www.blenheimpalace.com,"Standing in a romantic park created by the famous landscape gardener Capability Brown, Blenheim Palace was presented by the English nation to John Churchill, first Duke of Marlborough, in recognition of his victory in 1704 over French and Bavarian troops. Built between 1705 and 1722 and characterised by an eclectic style and a return to national roots, it is a perfect example of an 18th century princely dwelling"
City of Bath World Heritage Site,World Heritage Sites,51.381389,-2.358611,https://www.bathworldheritage.org.uk,"Founded by the Romans as a thermal spa, Bath became an important centre of the wool industry in the Middle Ages. In the 18th century, under George III, it developed into an elegant town with neoclassical Palladian buildings, which blend harmoniously with the Roman baths."
Cornwall and West Devon Mining Landscape World Heritage Site,World Heritage Sites,50.136111,-5.383611,https://www.cornwall.gov.uk/environment-and-planning/conservation/world-heritage-site/,Much of the landscape of Cornwall and West Devon was transformed in the 18th and early 19th centuries as a result of the rapid growth of pioneering copper and tin mining. The substantial remains are a testimony to the contribution Cornwall and West Devon made to the Industrial Revolution in the rest of Britain and to the fundamental influence the area had on the mining world at large.
Derwent Valley Mills World Heritage Site,World Heritage Sites,53.028889,-1.488056,http://www.derwentvalleymills.org,The Derwent Valley in central England contains a series of 18th - and 19th - century cotton mills and an industrial landscape of high historical and technological interest.
Dorset and East Devon Coast (Jurassic Coast) World Heritage Site,World Heritage Sites,50.705556,-2.989889,https://jurassiccoast.org,"The cliff exposures along the Dorset and East Devon coast provide an almost continuous sequence of rock formations spanning the Mesozoic Era, or some 185 million years of the earth’s history. The area’s important fossil sites and classic coastal geomorphologic features have contributed to the study of earth sciences for over 300 years."
Durham Castle and Cathedral World Heritage Site,World Heritage Sites,54.774722,-1.576111,https://www.durhamworldheritagesite.com,"Durham Cathedral was built in the late 11th and early 12th centuries to house the relics of St Cuthbert (evangelizer of Northumbria) and the Venerable Bede. It attests to the importance of the early Benedictine monastic community and is the largest and finest example of Norman architecture in England. The innovative audacity of its vaulting foreshadowed Gothic architecture. Behind the cathedral stands the castle, an ancient Norman fortress which was the residence of the prince-bishops of Durham."
Liverpool Maritime Mercantile City World Heritage Site,World Heritage Sites,53.404747,-2.996391,https://www.liverpoolworldheritage.com,"Six areas in the historic centre and docklands of the maritime mercantile City of Liverpool bear witness to the development of one of the world’s major trading centres in the 18th and 19th centuries. Liverpool played an important role in the growth of the British Empire and became the major port for the mass movement of people, e.g. slaves and emigrants from northern Europe to America."
Maritime Greenwich World Heritage Site,World Heritage Sites,51.481167,-0.003778,http://www.greenwichworldheritage.org,"The ensemble of buildings at Greenwich symbolize English artistic and scientific endeavour in the 17th and 18th centuries. The Queen's House (by Inigo Jones) was the first Palladian building in England and the park contains the Old Royal Observatory, the work of Christopher Wren and the scientist Robert Hooke."
Palace of Westminster and Westminster Abbey including Saint Margaret's Church World Heritage Site,World Heritage Sites,51.499625,-0.12656,https://whc.unesco.org/en/list/426/,"Westminster Palace, rebuilt from the year 1840 on the site of important medieval remains, is a fine example of neo-Gothic architecture. The site includes the small medieval Church of Saint Margaret and Westminster Abbey, where all the sovereigns since the 11th century have been crowned."
"Royal Botanic Gardens, Kew World Heritage Site",World Heritage Sites,51.478951,-0.294275,https://www.kew.org,"This historic landscape garden features elements that illustrate significant periods of the art of gardens from the 18th to the 20th centuries. Since their creation in 1759, the gardens have made a significant and uninterrupted contribution to the study of plant diversity and economic botany."
Saltaire World Heritage Site,World Heritage Sites,53.839167,-1.788333,https://saltairevillage.info,"A complete and well-preserved industrial village in West Yorkshire dating from the second half of the 19th century. Its textile mills, public buildings and workers’ housing are built in a harmonious style of high architectural standards and the urban plan survives intact, giving a vivid impression of Victorian philanthropic paternalism."
"Stonehenge, Avebury and Associated Sites World Heritage Site",World Heritage Sites,51.178889,-1.825278,http://www.stonehengeandaveburywhs.org,"Stonehenge and Avebury, in Wiltshire, are among the most famous groups of megaliths in the world. The two sanctuaries consist of circles of menhirs arranged in a pattern whose astronomical significance is still being explored. These holy places and the nearby Neolithic sites are an incomparable testimony to prehistoric times."
Studley Royal Park including the Ruins of Fountains Abbey World Heritage Site,World Heritage Sites,54.116111,-1.573056,https://www.nationaltrust.org.uk/fountains-abbey-and-studley-royal-water-garden/features/fountains-abbey-and-studley-royal-world-heritage-site,"A striking landscape was created around the ruins of the Cistercian Fountains Abbey and Fountains Hall Castle, in Yorkshire. The 18th-century landscaping, gardens and canal, the 19th-century plantations and vistas, and the neo-Gothic castle of Studley Royal Park, make this an outstanding site."
Tower of London World Heritage Site,World Heritage Sites,51.508056,0.076111,https://www.hrp.org.uk/about-us/tower-of-london-world-heritage-site/,"The Tower of London is an internationally famous monument and one of England’s most iconic structures. It was built on the Thames by William the Conqueror to protect London and assert his power, and is the most complete example of an 11th century fortress palace remaining in Europe."
Giant's Causeway and Causeway Coast World Heritage Site,World Heritage Sites,55.25,-6.485278,http://giantscauseway.ccght.org/,"The Giant's Causeway is made up of 40,000 black basalt columns protruding from the sea. The dramatic sight has inspired legends of giants striding over the sea to Scotland. Geological studies of these formations over the last 300 years have greatly contributed to the development of the earth sciences, and show that this striking landscape was caused by volcanic activity during the Tertiary 50–60 million years ago."
Gorham's Cave Complex World Heritage Site,World Heritage Sites,36.122669,-5.342061,https://www.visitgibraltar.gi/see-and-do/natural-attractions/gorhams-cave-complex-world-heritage-site-and-tours-35/,"The steep limestone cliffs on the eastern side of the Rock of Gibraltar contain four caves with archaeological and paleontological deposits that provide evidence of Neanderthal occupation over a span of more than 125,000 years."
Henderson Island World Heritage Site,World Heritage Sites,-24.366667,-128.326667,https://whc.unesco.org/en/list/487/,"Henderson Island, which lies in the eastern South Pacific, is one of the few atolls in the world whose ecology has been practically untouched by a human presence. Its isolated location provides the ideal context for studying the dynamics of insular evolution and natural selection. It is particularly notable for the 10 plants and four land birds that are endemic to the island."
"Historic Town of St George and Related Fortifications, Bermuda World Heritage Site",World Heritage Sites,32.379444,-64.677778,https://whc.unesco.org/en/list/983/,"The Town of St George, founded in 1612, is an outstanding example of the earliest English urban settlement in the New World. Its associated fortifications graphically illustrate the development of English military engineering from the 17th to the 20th century, being adapted to take account of the development of artillery over this period."
Frontiers of the Roman Empire: Antonine Wall World Heritage Site,World Heritage Sites,55.95885,-4.072001,https://www.antoninewall.org/world-heritage/unesco-world-heritage-sites,"From Old Kilpatrick to near Bo’ness, the Antonine Wall was around 37 miles (60km) long when completed in 142 AD. The wall featured ridges, crests and escarpments to create a forbidding boundary and visible barrier at the Roman Empire’s north-west frontier."
Frontiers of the Roman Empire: Hadrian's World Heritage Site,World Heritage Sites,54.990374,-2.600619,https://www.english-heritage.org.uk/visit/places/hadrians-wall/,"Hadrian's Wall Country stretches across the north of England from the west Cumbrian Roman coastal defences at Ravenglass, through Whitehaven, Workington and Maryport to Bowness-on-Solway, along Hadrian's Wall through Carlisle to Hexham in Northumberland and on to Newcastle upon Tyne, Wallsend and South Shields."
Heart of Neolithic Orkney World Heritage Site,World Heritage Sites,58.996056,-3.188667,https://www.orkney.com,"The group of Neolithic monuments on Orkney include a large chambered tomb and two ceremonial stone circles together with a number of unexcavated burial, ceremonial and settlement sites. The group constitutes a major prehistoric cultural landscape which gives a graphic depiction of life in this remote archipelago in the far north of Scotland some 5,000 years ago."
New Lanark World Heritage Site,World Heritage Sites,55.663333,-3.783056,https://www.newlanark.org,"New Lanark World Heritage Site is a unique 18th century mill village sitting alongside the picturesque River Clyde less than one hour from Glasgow and Edinburgh. Visitors can see recreated millworkers’ houses, historic working machinery and the nearby ‘Falls of Clyde’ waterfalls."
St Kilda World Heritage Site,World Heritage Sites,57.817222,-8.576667,https://www.nts.org.uk/visit/places/st-kilda,"This volcanic archipelago, with its spectacular landscapes, is situated off the coast of the Hebrides. It has some of the highest cliffs in Europe, which have large colonies of rare and endangered species of birds. Uninhabited since 1930, it bears the evidence of more than 2,000 years of human occupation in the extreme conditions prevalent in the Hebrides."
The Forth Bridge World Heritage Site,World Heritage Sites,56.001111,-3.388889,https://www.theforthbridges.org,"The world’s first major steel edifice remains a potent symbol of Britain’s industrial, scientific, architectural and transport heritage and, in particular, Scotland’s engineering pedigree and ingenuity. Nevertheless, it remains a working estuary crossing, busier than ever. The distinctive red bridge carries around 200 local and intercity trains across the Forth every day and forms a key part of the national East Coast Main Line."
Castles and Town Walls of King Edward in Gwynedd World Heritage Site,World Heritage Sites,53.139722,-4.276944,https://cadw.gov.wales/advice-support/historic-assets/other-historic-assets/world-heritage-sites/castles-and-town-walls,"Beaumaris, Caernarfon, Conwy and Harlech were the finest castles built by King Edward I in Wales. At Caernarfon and Conwy, new towns were built within massive walls at the same time as the castles. All were begun and substantially completed between 1283 and 1330. The result, both individually and collectively, is the finest surviving example of late thirteenth-century military architecture in Europe. Together, these four great castles and two sets of town walls were inscribed on the World Heritage List in 1986 as the Castles and Town Walls of King Edward in Gwynedd World Heritage Site."
Pontcysyllte Aqueduct and Canal World Heritage Site,World Heritage Sites,52.970278,-3.087778,https://www.pontcysyllte-aqueduct.co.uk,"Pontcysyllte Aqueduct and canal consists of a continuous group of civil engineering features from the heroic phase of transport improvements during the British Industrial Revolution. The canal brought water borne transport from the English lowlands into the rugged terrain of the Welsh uplands, using innovative techniques to cross two major river valleys and the ridge between them. It was built between 1795 and 1808 by two outstanding figures in the development of civil engineering: Thomas Telford and William Jessop. Through their dynamic relationship the canal became a testing ground for new ideas that were carried forward into subsequent engineering practice internationally. It was inscribed as a World Heritage Site in 2009 and to be included on the World Heritage List, sites must be of outstanding universal value and meet at least one out of ten selection criteria."
Ironbridge Gorge World Heritage Site,World Heritage Sites,52.627299,-2.485327,https://www.ironbridge.org.uk,"Ironbridge is known throughout the world as the symbol of the Industrial Revolution. It contains all the elements of progress that contributed to the rapid development of this industrial region in the 18th century, from the mines themselves to the railway lines. Nearby, the blast furnace of Coalbrookdale, built in 1708, is a reminder of the discovery of coke. The bridge at Ironbridge, the world�s first bridge constructed of iron, had a considerable influence on developments in the fields of technology and architecture."
Bradford Creative City of Film,Creative City,53.79442,-1.75192,https://www.bradford-city-of-film.com/,"Bradford is the world's first UNESCO City of Film. This permanent title bestows international recognition on Bradford as a world centre for film because of the city’s rich film heritage, its inspirational movie locations and its many celebrations of the moving image through the city’s film festivals, filmed related events and unique approach to learning about film and learning with film."
Bristol Creative City of Film,Creative City,51.4538,-2.5973,http://bristolcityoffilm.co.uk/,"Bristol's Creative City status confirms its reputation as an established centre for creative innovation. Home to motion picture pioneer William Friese-Greene, Hollywood icon Cary Grant, the world-leading BBC Natural History unit and Academy Award-winning Aardman Animations, film plays a central role in Bristol’s cultural and commercial identity."
Dundee Creative City of Design,Creative City,56.46059,-2.97019,http://www.dundeecityofdesign.com/,"Dundee is the UK's first and only Creative City of Design. Now home to Scotland's only Museum of Design, the V&A Dundee, the city has always used culture and creativity as key drivers of social and economic regeneration. Once the home to the world's jute textile industry, the city is now recognised for its contributions to digital design, fashion, medical research, publishing and video games. "
Edinburgh Creative City of Literature,Creative City,55.95335,-3.18837,https://cityofliterature.com/,"Scotland's capital was the world's first Creative City of Literature when it was designated in 2004. It is the birthplace and home to world-famous writers, poets and playwrights including Arthur Conan Doyle (Sherlock Holmes), Walter Scott (Waverley), and JK Rowling (Harry Potter). It has its own Poet Laureate, the Edinburgh Makar.  The Edinburgh International Book Festival is the world’s largest literary festival of its kind, lasting for two weeks each August and the National Library of Scotland can also be found here."
Glasgow Creative City of Music,Creative City,55.86098,-4.24888,https://citiesofmusic.net/city/glasgow/,"Glasgow is a vibrant city with a legendary music scene that stretches across the whole spectrum from contemporary and classical, to Celtic and Country. Its venues are equally varied and the city hosts an average 130 music events each week, more than any other Scottish city. Scottish Opera and the Royal Scottish National Orchestra make their home in Glasgow alongside other national organisations including the BBC Scottish Symphony Orchestra, BBC Scotland, National Youth Orchestra of Scotland, Royal Conservatoire of Scotland (RCS) and the Scottish Ensemble."
Liverpool Creative City of Music,Creative City,53.40715,-2.99166,https://citiesofmusic.net/city/liverpool/,"Music is the lifeblood of Liverpool. It’s the city’s heartbeat: music is at the very heart of what sets Liverpool apart and makes it special. In 2015, Liverpool was designated as a UNESCO City of Music, but the title merely confirmed what many people already knew – it is and always has been a music city."
Manchester Creative City of Literature,Creative City,53.47949,-2.24511,https://www.creativecity.org.uk/,"Manchester, which built the UK’s first public lending library, gave the world the work of great writers including Elizabeth Gaskell and Anthony Burgess, as well as poets John Cooper Clark and Carol Anne Duffy. Manchester Literature Festival, one of the most innovative and popular literary events in the UK, provides an annual focal point for all the City’s literary endeavours and brings some of the most inspirational writers from around the globe to share their stories with the people of Manchester."
Norwich Creative City of Literature,Creative City,52.62861,1.29227,https://nationalcentreforwriting.org.uk/unesco-city-of-literature/,"Norwich's literary heritage includes the first book to be published in English by a woman: Revelations of Divine Love written by Julian of Norwich in the fourteenth century which still resonates to this day. In more recent times, Britain’s first MA in Creative Writing was founded at the University of East Anglia (UEA). Writers of world standing - including Ian McEwan and Kazuo Ishiguro - emerged from this programme. It is now widely regarded as one of the most influential courses for new writing. Norwich also boasts the oldest city arts festival in the UK and each year the Norfolk and Norwich Festival attracts thousands of visitors with its cutting-edge programme."
Nottingham Creative City of Literature,Creative City,52.95342,-1.14965,https://nottinghamcityofliterature.com/,"The Birthplace of Lord Byron and DH Lawrence, the City of Nottingham has a long and storied history with the written word. The literature-related programmes of Nottingham Trent University and the University of Nottingham, campuses together attract a worldwide student population of more than 60,000 annually, are renowned for their long tradition in creative writing courses continuing in the City's tradition. Also distinguished by the variety of its literary events, Nottingham annually hosts the multidisciplinary Nottingham European Arts Theatre (NEAT) Festival, which gathers 300 artists and a 55,000-person audience."
York Creative City of Media Arts,Creative City,53.95906,-1.08154,https://www.guildofmediaarts.com/,"Over the past decade, York has championed investment in its cultural institutions, initiating several iconic activities such as the Illuminating York Festival and the revival of York Mystery Plays. Through these initiatives, the city of York has emphasized the value of culture in the city's hospitality, education and marketing sectors. As a UNESCO City of Media Arts, the city of York is mobilizing creativity to strengthen the local economy, increase levels of public participation in culture, renew investment in the city�s human capital and academic institutions and contribute to the quality of life. "
