What is the name of the affected project or program?,"In which country, region, or territory is the affected project or program located?",In what specific ways does the stop work order impact this project?,What specific data or examples illustrate these impacts?,What organization(s) was/were involved in implementing this project?,What was the approximate funding amount for this project or program?,"What risks, if any, does the halting of your program pose to US national security?","What impacts, if any, does the halting of your program pose to the US economy?"
Malaria ,Kenya,"Lives at risk (e.g., due to healthcare or food insecurity)., Vaccines not delivered or essential medicines unavailable., Children unable to access education or literacy programs., Women and girls losing access to economic or social empowerment programs., Delayed infrastructure projects (e.g., roads, energy access, or housing).",A,Usaid,Millions ,Loosing lives,Na
MOMENTUM  Routine Immunization Transformation and Equity,Global,"Vaccines not delivered or essential medicines unavailable., Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants)., Delayed or canceled humanitarian aid (e.g., food distribution, disaster response)., Decrease in building health systems work and knowledge sharing",,USAID,3 mil annually for my specific team,,
Country Health Information Systems and Data Use (CHISU),Global,"Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants)., Government (Ministry of Health) health information systems will lose support",,USAID,$200 million over 5-year contract,"Will weaken health information systems in 20+ countries around the world, therefore impacting delivery of health services for countless populations.",
Syria Growing Agriculture and Incomes,Syrian Arab Republic,"Lives at risk (e.g., due to healthcare or food insecurity)., Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants)., Disrupted agricultural productivity (e.g., lack of seeds, tools, or training).",,"Global Communities, Acute Incite",unknown,"This could further destabilize Syria, making it more vulnerable to extremist organizations which could act against the US and further destabilize the region.",
Mental Health trauma informed training and physiotherapy   ,Ethiopia,"Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants).",1000  and more clients affects ,USAID-CVT,UNKOWN ,disinformation efforts.,7000000
Refugee Reception & Placement Program,United States of America,"Loss of jobs or income for project staff (e.g., project managers, consultants)., Delayed or canceled humanitarian aid (e.g., food distribution, disaster response)., Refugees resettled in the United States not getting support they were promised such as housing, food, cultural orientation, case management, and employment.","388 refugees who have arrived in the United States in the last 90 days will not get basic needs assistance, case management, and self-sufficiency support.","Bureau of Population, Refugees, and Migration",Approximately $3 million annually,,
Market Systems Development,Ghana,"Loss of jobs or income for project staff (e.g., project managers, consultants).",,ACDI VOCA,$5 million annually,Opinion and trust of US from programme implementers and beneficiaries has plummeted.,
Sanitation and Hygiene Access Project ,Global,"Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants)., Reduced access to clean water or sanitation infrastructure.",5 USAID projects will not be supplied and supported with sanitation and hygiene products and technical assistance ,LIXIL,$7.5M over 5 years,,"Will lead to decrease in purchase of sanitation and hygiene products, loss of income for local distributors and retailers, loss of income for women sales staff"
USAID's light for our future mental health and physiotherapy services for survivors of trauma and torture,Ethiopia,"Lives at risk (e.g., due to healthcare or food insecurity)., Loss of jobs or income for project staff (e.g., project managers, consultants).","In my area of activity, a region in Ethiopia called Tigray there are more than half a million IDPs in which majority of them has experinced traumatic events with significant symptoms of traumatic stress,mental health will not receive MHPSS services affecting the overall mental health of the community that inturn, will lead to worsening of the current state.",The center for Victims of Torture (CVT) project funded by USAID,Not sure but around $3.5 million annually,"Might weaken the USA's reputation in the eyes of the developing countries, will weaken the diplomatic and economical relations of USA with other countries and international organizations ultimately it will affect the USA 's influence and strength in the world politics and economy. ",Will lead to decrease in USA goods purchase.
"CPS Bureau Institutional Support Contract and Related CPS Projects, incl. GFA",Global,"Lives at risk (e.g., due to healthcare or food insecurity)., Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants)., Women and girls losing access to economic or social empowerment programs.",,"USAID, IOM, German & Dutch Gov’ts",,Will allow violent extremism and conflict to propagate unchecked in Coastal West Africa and other GFA countries,Loss of 28 jobs (technically furloughed) on this GSV contract
Casa Frida Refugio LGBT,Mexico,"Lives at risk (e.g., due to healthcare or food insecurity)., Delayed or canceled humanitarian aid (e.g., food distribution, disaster response)., Reduced access to clean water or sanitation infrastructure.","500+ migrants will not be supported and safely housed, while supporting their visa processes in Mexico (aiming to PREVENT them from reaching the US border).","IOM, State Dept, Internews, Pan-American Development Fund (PADF)","$200,000",Migrants who would otherwise have been involved in the program will continue to the abused by traffickers and will be 80% more likely to reach the US border and attempt to seek asylum in the USA. ,N/A
BPRM ,Bangladesh,"Lives at risk (e.g., due to healthcare or food insecurity)., Children unable to access education or literacy programs., Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants)., Delayed or canceled humanitarian aid (e.g., food distribution, disaster response)., Women and girls losing access to economic or social empowerment programs.",Disabilities are affected.  Losses jobs. ,HI,Unknown ,Losses job around 1 lac people. Servuce stop for disability ,It will big impact 
Training & Leadership Development Unit at the Bureau of Humanitarian Assistance USAId ,United States of America,"Loss of jobs or income for project staff (e.g., project managers, consultants)., Delayed or canceled humanitarian aid (e.g., food distribution, disaster response).",,USAID ,,,
DEVELOP,Global,"Children unable to access education or literacy programs., Loss of jobs or income for project staff (e.g., project managers, consultants)., Women and girls losing access to economic or social empowerment programs.",,USAID,,,
Trauma and war wounded survivors invluding GBV survivors.,Ethiopia,"Lives at risk (e.g., due to healthcare or food insecurity)., Loss of jobs or income for project staff (e.g., project managers, consultants)., Delayed or canceled humanitarian aid (e.g., food distribution, disaster response)., Specialized mental health setvices","8 Specialized MHPSd services for GBV survivors, war wounded clients, and affected communities  ",USAID,Unknown,Healing lights and hope insatllation processes to recover disrupted,Good will
USAID Contract ,United States of America,"Loss of jobs or income for project staff (e.g., project managers, consultants).",Entire team is told to stop work. Potentially will all be furloughed without pay ,USAID contracting firm ,Obligated contract for 5 years ,"Unsure,m",Over 45 staff furloughed. Majority will need to collect unemployment if unpaid during furlough 
SBA Community Advantage Loan Program,United States of America,"Loss of jobs or income in local communities (e.g., farmers, small business owners)., Women and girls losing access to economic or social empowerment programs.","In 2024, CDFIs deployed $194 million in financing to small businesses in the US under the SBA Community Advantage Loan program. This helped maintained and created hundreds of thousands of jobs in the US - primarily targeting women-owned businesses, veteran-owned businesses, BIPOC-owned businesses, and businesses located in LMI communities - communities that often cannot get access to financing through traditional sources, such as a bank. ",CDC Small Business Finance under the SBA,$194 million in 2024,"Will significantly weaken the US economy, will potentially contribute to significant job losses, will hamper job creation, will slow innovation, and more. Approximately 50% of all US GDP growth is accounted for via small businesses in the US, which would be impacted through the loss or diminishing of SBA loan programs.",See above.
Free HIV/AIDS medication,Malawi,"Lives at risk (e.g., due to healthcare or food insecurity)., Vaccines not delivered or essential medicines unavailable., Loss of jobs or income for project staff (e.g., project managers, consultants)., Delayed or canceled humanitarian aid (e.g., food distribution, disaster response).",3 million people ,USAID,Unknown,Increased death from HIV/AIDS patience due to defaulting ,
"Conflict, Violence Prevention, and Peacebuilding programming",Global,"Loss of jobs or income for project staff (e.g., project managers, consultants)., Delayed or canceled humanitarian aid (e.g., food distribution, disaster response)., Women and girls losing access to economic or social empowerment programs.",,USAID and EnCompass LLC,unknown,,
BHA Technical Staff,United States of America,"Loss of jobs or income for project staff (e.g., project managers, consultants).",,,,,
Community Led Monitoring on HIV/AIDS,Rwanda,"Lives at risk (e.g., due to healthcare or food insecurity)., Loss of jobs or income for project staff (e.g., project managers, consultants).",more than 26 millions are going to suffer from loosing ARV sercives,UNAIDS,unknown ,will weak the ARV clients' Adherence ,unknown 
USAID ISC for Private Sector Engagement Contract,United States of America,"Loss of jobs or income for project staff (e.g., project managers, consultants).",,,,,
USAID-funded Family Planning Website Redesign,United States of America,"Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants)., Women and girls losing access to economic or social empowerment programs.",Millions of beneficiaries impacted as national family planning programs are denied critical resources.,USAID,Unknown,None direct,N/A
Millennium Challenge Corporation- Small Business Support,Lesotho,"Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants)., Women and girls losing access to economic or social empowerment programs.",50 small businesses in Lesotho won’t receive their investments and strategic growth and marketing training ,MCC,"$300,000 annually ",,"Two Americans, my colleague and I, have lost 100% of our income and  risk not being able to pay our bills in 2-3 months. "
LPSE Global Good,Burkina Faso,"Children unable to access education or literacy programs., Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants).",Le ministère de la santé du Burkina et ses partenaires ne bénéficieront pas de l'appui technique nécessaire pour l'atteinte de la modernisation et l'amélioration de la santé des populations a travers le digital ,USAID,Inconnu ,Cela affaiblir a la résilience de la communauté aux efforts ,
Cost Effectiveness in randomized control trials,Global,"Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants)., Delayed or canceled humanitarian aid (e.g., food distribution, disaster response).","Specifically in my office, all work on producing randomized control trials throughout the world was halted. 13 ISCs were furloughed and 2 senior staff were put on admin leave",USAID,4.8 million annually ,,
Gang Resistance Education and Training (GREAT) Results evaluation,Honduras,Children and youth will not receive information and resources to protect themselves against gang violence  ,"My project was the evaluation, not running the program but it will affect the implementation of all youth programs in the region. We don't know if they work or not",INL,$2 million,Will lead to renewed violence in vulnerable communities and eventually to more migration,
Torture and Trauma Healing program ,Ethiopia,"Lives at risk (e.g., due to healthcare or food insecurity)., Vaccines not delivered or essential medicines unavailable., Children unable to access education or literacy programs., Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants)., Delayed or canceled humanitarian aid (e.g., food distribution, disaster response)., Women and girls losing access to economic or social empowerment programs., Psychological treatment  process disrupted !",Group counseling and individual counseling for about 100 group counseling sessions in different mobile locations ,CVT,$4 millions ,Suicide or crisis cases could be highly impacted IDP and host community ,Not Significancy  impact on US
Latin America & Caribbean Learning and Rapid Response,Jamaica,"Lives at risk (e.g., due to healthcare or food insecurity)., Loss of jobs or income for project staff (e.g., project managers, consultants)., Security coordination to reduce violence and illicit trafficking across borders",,"USAID, governments from 13 Caribbean countries ",,"Halting this program weakens international coordination to reduce illicit trafficking and violence across borders throughout the U.S., Caribbean, and Latin America. ",
Life-saving protection for women and girls,Yemen,"Lives at risk (e.g., due to healthcare or food insecurity)., Women and girls losing access to economic or social empowerment programs.","More than 2,120 women and girls' lives are at risk",UNFPA+YWU+RFDH,unknown,It will weaken society's ability to withstand the disinformation efforts of our enemies and give them widespread acceptance.,
Providing development and technical expertise PDEX,United States of America,"Loss of jobs or income for project staff (e.g., project managers, consultants).",,USAID,Total contract value $95 million ,,
Feed the Future Market Systems and Partnerships,Global,"Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants)., Disrupted agricultural productivity (e.g., lack of seeds, tools, or training)., Women and girls losing access to economic or social empowerment programs., Significant risk to private sector partners (grantees) of bankruptcy, putting hundreds of local jobs at risk ","49 partners have millions of dollars in equipment purchased that cannot they cannot be reimbursed for, downstream impacts affect 300,000+ individuals.",USAID,$80 million over 6 years ,,
Integrated Health Systems Strengthening and Service Delivery Activity,Pakistan,"Vaccines not delivered or essential medicines unavailable., Loss of jobs or income for project staff (e.g., project managers, consultants)., Delayed or stopped implementation of systems and infrastructure to strengthen the country's health systems, ensure accurate data for decision making, identify and respond to infectious disease, and strengthen global health security.",,"USAID, JSI, Government of Pakistan, ",85 million,"Increased risk of cross-border infectious disease transmission, damaged relations with the government of PK which could effect US economic opportunities",hard to measure at this point
Workforce Development Project,Ethiopia,"Lives at risk (e.g., due to healthcare or food insecurity)., Children unable to access education or literacy programs., Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants)., Disrupted agricultural productivity (e.g., lack of seeds, tools, or training).",,,,,
Digital Health project ,Uganda,"Loss of jobs or income for project staff (e.g., project managers, consultants)., Delayed infrastructure projects (e.g., roads, energy access, or housing).","program support for more than 2000 frontline community health workers is disrupted, and this affects almost 1 million refugees.","USAID, UNHCR",$200K annually,Resettled individuals who are unsure of their livelihoods back home are easily incentivised to apply for asylum to the US. ,"Cloud services for digital health services bought from Microsoft and Amazon will end, instantly."
"I'm an international development consultant and recieved Stop Work Orders on all three of my current projects: Strengthening criminal justice institutions in Mexico, review of global biodiversity projects, and ground rent reform in Malawi. ",Global,"Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants)., Women and girls losing access to economic or social empowerment programs., government-government relations",,"Funding from USAID, the Millennium Challenge Corporation, and the World Bank's Independent Evaluation Group ",Different amounts depending on project,"Increase anti-US sentiment globally. Spur creation of non/anti-US alliances. Weakened diplomacy. Reduced ability to trade and negotiate. Other countries, namely China and Russia, will step in and gain global influence. ",Increased taxes and cost. US citizens looking their jobs. 
USAID/Uganda Targeting the Learning Crisis,Uganda,Children unable to access education or literacy programs.,1 million children will not access literacy and numeracy programming,"USAID, other partners",$20M total,Will allow China to exert greater influence in sub-Saharan Africa. Can lead to additional instability in the region. ,
Educational Access and Economic Improvement,Brazil,"Children unable to access education or literacy programs., Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants).",Role model empowerment programs will not happen affecting 12 million children ,USAID,$1.2M,Will weaken technological innovation and strategic partnerships with upcoming talent abroad ,Will lead to decrease in talent pool and mathematical and engineering innovation
Transform program (TFGBV),Guatemala,"Loss of jobs or income for project staff (e.g., project managers, consultants)., Women and girls losing access to economic or social empowerment programs.",,USAID,,,
Transform program (TFGBV),Georgia,"Loss of jobs or income for project staff (e.g., project managers, consultants)., Women and girls losing access to economic or social empowerment programs.",,USAID,,,
Transform program (TFGBV),Kenya,"Loss of jobs or income for project staff (e.g., project managers, consultants)., Women and girls losing access to economic or social empowerment programs.",,USAID,,,
Monitoreando la transparencia,El Salvador,"Loss of jobs or income for project staff (e.g., project managers, consultants)., Se cae en incumplimiento con proveedores y con oficinas gubernamentales como el Seguro Social, Ministerio de Hacienda, Pensiones",Se deja de ejercer contraloría ciudadana sobre la gestión pública,USAID,"$300,000","Se deja de informar a las agencias gubernamentales del gobierno de Estados Unidos sobre situaciones potenciales de corrupción, lo que puede derivar en que la prestación de servicios públicos en El Salvador se desmejore; de igual forma, al no atender la transparencia al proceso electoral, se da un margen para que la gente no esté contenta con la gestión de algunos de sus gobernantes y no pueda cambiar dicha realidad con el voto en elecciones libres.",
DREAMS HIV Prevention,South Africa,"Lives at risk (e.g., due to healthcare or food insecurity)., Delayed or canceled humanitarian aid (e.g., food distribution, disaster response)., Women and girls losing access to economic or social empowerment programs.",In our program close 100000 AGYW,USAID,Unknown,,
Clean Energy IRA,United States of America,"Loss of jobs or income for project staff (e.g., project managers, consultants)., Delayed infrastructure projects (e.g., roads, energy access, or housing).",,Department of Energy ,Unknown,This will weaken American power grid stability and clean energy efforts and advancement.,Will lead to a weaker clean energy market and oversaturated unemployed energy market
Cooperative Threat Reduction,Global,"Loss of jobs or income for project staff (e.g., project managers, consultants).",,,,,
Youth Economic Empowerment,Ethiopia,"Children unable to access education or literacy programs., Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants)., Delayed infrastructure projects (e.g., roads, energy access, or housing).",,"USAID, Amref, Headlight Consulting Services",,,
Georgia Political Processes Program,Georgia,"Loss of jobs or income for project staff (e.g., project managers, consultants)., Women and girls losing access to economic or social empowerment programs.",,USAID/CEPPS,2 million annually ,,
Protect adolescent girls in Iraq ,Iraq,"Lives at risk (e.g., due to healthcare or food insecurity)., Children unable to access education or literacy programs., Loss of jobs or income for project staff (e.g., project managers, consultants)., Women and girls losing access to economic or social empowerment programs.",200 adolescent girls will be at risk of sexual violence and early forced marriages ,State department (DRL),"$1,870,000",Will put adolescent girls at risk of sexual violence and early forced marriages ,None
Basic Education Initiative,Myanmar [Burma],"Lives at risk (e.g., due to healthcare or food insecurity)., Vaccines not delivered or essential medicines unavailable., Children unable to access education or literacy programs., Loss of jobs or income for project staff (e.g., project managers, consultants)., Delayed or canceled humanitarian aid (e.g., food distribution, disaster response).",,USAID,Unknown,,
Inclusive Development Program,United States of America,"Loss of jobs or income for project staff (e.g., project managers, consultants)., Women and girls losing access to economic or social empowerment programs.",,USAID,Unknown ,Will weaken inclusion of marginalised communities in USAID development programmes ,
Delivering on comitments to disability incluisve humanitarian action,Global,"Loss of jobs or income for project staff (e.g., project managers, consultants)., Delayed or canceled humanitarian aid (e.g., food distribution, disaster response)., Women and girls losing access to economic or social empowerment programs., Persons with disabilities losing access to capacity development to engage in humantarian action",,"UNICEF, International Disability Alliance ",,,
Violence agianst women and girls ,Iraq,"Lives at risk (e.g., due to healthcare or food insecurity)., Loss of jobs or income for project staff (e.g., project managers, consultants)., Women and girls losing access to economic or social empowerment programs.", Thousands of women in three governates in Iraq,DRC,"2000,000 USD",Don't know ,Don't know 
Malaria Prevention Program,Nigeria,"Lives at risk (e.g., due to healthcare or food insecurity)., Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants).",,Management Science for Health ,unknown,,
LibrES,El Salvador,"Lives at risk (e.g., due to healthcare or food insecurity)., Loss of jobs or income for project staff (e.g., project managers, consultants)., Women and girls losing access to GBV prevention and response services",$35m project came to a screeching halt. All training to judges and prosecutors of sexual assault cases ceased; Funding for services to survivors ended; Safe Churches training for churches to become safe spaces for survivors and help stem Intimate Partner Violence ended. ,"Arizona State University in partnership with multiple subs, including US- based Urban Strategies, Universidad Francisco Favidia, and multiple Salvadoran NGOs.",$35 million over 5 years,"LibrES was funded as part of the Roots Causes Strategy, which identified the top 5 reasons people fled their homes in Northern Central America and decided to migrate north despite the many dangers and uncertain outcomes. GBV was one of the top 5 reasons. Stopping funding for LibrES will mean people - including women and girls - are less safe in their own communities, less able to prosecute their abuser, less able to access services, and more likely to undertake the dangerous migration journey.  A recent study showed that trans women faced particularly high incidents of genocide femicide in El Salvador. This is one less resource they will have to keep them safe. ","I cannot give dollar values, but the Trump administration has prioritized steering irregular migration from Northern Central America. Every single USAID-funded activity in El Salvador, Guatemala, and Honduras - including LibrES - was designed and is being implemented in order to stem migration to the US. Halting LibrES (and all other activities in the region) will make this region less safe, and will increase the likelihood of people to migrate to the US, which will economically impact US border patrol resources, among other things. "
MHPSs,Ethiopia,"Loss of jobs or income for project staff (e.g., project managers, consultants)., Loss of received much needed mental health care for IDPs",Close 3000 IDPs will not be receiving mental health care leading to difficulty in daily functioning and impacting the healing process,The Center for Victims of Torture,$6 million annually,,
Multiple programs funded by USAID,Global,"Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants)., Disrupted agricultural productivity (e.g., lack of seeds, tools, or training)., Women and girls losing access to economic or social empowerment programs.","50,000 farmers will not be trained in resilient farming methods. 20,000 youth will not receive training in career skills and like skills.",USAID,$150 million annually,Weakens our influence in cross border trade solutions. Farmers who are less resilient will continue to migrate to the US when crops fail.,Farmers who are less resilient will continue to migrate to the US when crops fail.
HIV/STI ,Kenya,"Lives at risk (e.g., due to healthcare or food insecurity)., Vaccines not delivered or essential medicines unavailable., Children unable to access education or literacy programs., Loss of jobs or income in local communities (e.g., farmers, small business owners)., Loss of jobs or income for project staff (e.g., project managers, consultants)., Delayed or canceled humanitarian aid (e.g., food distribution, disaster response)., Reduced access to clean water or sanitation infrastructure., Disrupted agricultural productivity (e.g., lack of seeds, tools, or training)., Women and girls losing access to economic or social empowerment programs., Delayed infrastructure projects (e.g., roads, energy access, or housing).",50000,Usaid,1 Million ,More stigma towards plhiv,Decrease in us-production 